起站,訖站,單程票,悠遊卡,敬老卡、愛心卡、愛心陪伴卡,站間行駛時間
大直,南港展覽館,30,24,12,18
大直,南港軟體園區,30,24,12,17
大直,東湖,30,24,12,15
大直,葫洲,30,24,12,13
大直,大湖公園,25,20,10,11
大直,內湖,25,20,10,9
大直,文德,20,16,8,8
大直,港墘,20,16,8,6
大直,西湖,20,16,8,4
大直,劍南路,20,16,8,2
大直,松山機場,20,16,8,3
大直,中山國中,20,16,8,6
大直,南京東路,20,16,8,8
大直,忠孝復興,25,20,10,10
大直,大安,25,20,10,12
大直,科技大樓,25,20,10,13
大直,六張犁,30,24,12,16
大直,麟光,30,24,12,17
大直,辛亥,35,28,14,20
大直,萬芳醫院,35,28,14,22
大直,萬芳社區,35,28,14,24
大直,木柵,35,28,14,25
大直,動物園,40,32,16,26
大直,淡水,60,48,24,58
大直,紅樹林,60,48,24,55
大直,竹圍,55,44,22,53
大直,關渡,55,44,22,50
大直,忠義,50,40,20,49
大直,復興崗,50,40,20,46
大直,北投,45,36,18,44
大直,新北投,50,40,20,50
大直,奇岩,45,36,18,42
大直,唭哩岸,45,36,18,41
大直,石牌,40,32,16,38
大直,明德,40,32,16,37
大直,芝山,40,32,16,35
大直,士林,40,32,16,33
大直,劍潭,35,28,14,31
大直,圓山,35,28,14,29
大直,民權西路,30,24,12,26
大直,雙連,30,24,12,26
大直,中山,30,24,12,25
大直,台北車站,30,24,12,19
大直,台大醫院,30,24,12,24
大直,中正紀念堂,30,24,12,22
大直,東門,30,24,12,19
大直,大安森林公園,25,20,10,18
大直,大安,25,20,10,12
大直,信義安和,30,24,12,18
大直,台北101/世貿,30,24,12,20
大直,象山,30,24,12,21
大直,小南門,30,24,12,26
大直,古亭,30,24,12,23
大直,台電大樓,35,28,14,28
大直,公館,35,28,14,29
大直,萬隆,35,28,14,32
大直,景美,40,32,16,34
大直,大坪林,40,32,16,36
大直,七張,40,32,16,37
大直,小碧潭,45,36,18,44
大直,新店區公所,45,36,18,39
大直,新店,45,36,18,41
大直,蘆洲,45,36,18,39
大直,三民高中,40,32,16,37
大直,徐匯中學,40,32,16,35
大直,三和國中,40,32,16,33
大直,三重國小,35,28,14,31
大直,迴龍,55,44,22,49
大直,丹鳳,50,40,20,46
大直,輔大,50,40,20,43
大直,新莊,45,36,18,41
大直,頭前庄,45,36,18,39
大直,先嗇宮,40,32,16,37
大直,三重,40,32,16,34
大直,菜寮,35,28,14,32
大直,台北橋,35,28,14,30
大直,大橋頭,35,28,14,28
大直,民權西路,30,24,12,26
大直,中山國小,30,24,12,24
大直,行天宮,30,24,12,22
大直,松江南京,30,24,12,20
大直,忠孝新生,25,20,10,16
大直,東門,30,24,12,19
大直,古亭,30,24,12,23
大直,頂溪,35,28,14,27
大直,永安市場,35,28,14,29
大直,景安,40,32,16,31
大直,南勢角,40,32,16,32
大直,南港展覽館,30,24,12,18
大直,南港,35,28,14,25
大直,昆陽,35,28,14,24
大直,後山埤,30,24,12,22
大直,永春,30,24,12,21
大直,市政府,30,24,12,19
大直,國父紀念館,25,20,10,17
大直,忠孝敦化,25,20,10,16
大直,忠孝復興,25,20,10,10
大直,忠孝新生,25,20,10,16
大直,善導寺,30,24,12,18
大直,台北車站,30,24,12,19
大直,西門,30,24,12,22
大直,龍山寺,35,28,14,25
大直,江子翠,40,32,16,28
大直,新埔,40,32,16,30
大直,板橋,40,32,16,32
大直,府中,45,36,18,34
大直,亞東醫院,45,36,18,36
大直,海山,50,40,20,39
大直,土城,50,40,20,41
大直,永寧,55,44,22,43
