起站,訖站,單程票,悠遊卡,敬老卡、愛心卡、愛心陪伴卡,站間行駛時間
府中,南港展覽館,45,36,18,35
府中,南港軟體園區,45,36,18,41
府中,東湖,50,40,20,43
府中,葫洲,50,40,20,44
府中,大湖公園,55,44,22,45
府中,內湖,55,44,22,43
府中,文德,50,40,20,41
府中,港墘,50,40,20,40
府中,西湖,50,40,20,38
府中,劍南路,45,36,18,36
府中,大直,45,36,18,34
府中,松山機場,40,32,16,31
府中,中山國中,35,28,14,28
府中,南京東路,35,28,14,26
府中,忠孝復興,35,28,14,20
府中,大安,35,28,14,26
府中,科技大樓,35,28,14,27
府中,六張犁,35,28,14,30
府中,麟光,40,32,16,31
府中,辛亥,40,32,16,34
府中,萬芳醫院,40,32,16,36
府中,萬芳社區,45,36,18,38
府中,木柵,45,36,18,39
府中,動物園,45,36,18,40
府中,淡水,60,48,24,53
府中,紅樹林,60,48,24,50
府中,竹圍,55,44,22,48
府中,關渡,55,44,22,45
府中,忠義,50,40,20,43
府中,復興崗,50,40,20,41
府中,北投,45,36,18,39
府中,新北投,50,40,20,45
府中,奇岩,45,36,18,37
府中,唭哩岸,45,36,18,35
府中,石牌,40,32,16,33
府中,明德,40,32,16,32
府中,芝山,40,32,16,30
府中,士林,35,28,14,28
府中,劍潭,35,28,14,26
府中,圓山,35,28,14,24
府中,民權西路,30,24,12,22
府中,雙連,30,24,12,21
府中,中山,30,24,12,19
府中,台北車站,30,24,12,14
府中,台大醫院,30,24,12,19
府中,中正紀念堂,30,24,12,17
府中,東門,30,24,12,22
府中,大安森林公園,30,24,12,23
府中,大安,35,28,14,26
府中,信義安和,35,28,14,27
府中,台北101/世貿,35,28,14,29
府中,象山,40,32,16,30
府中,小南門,30,24,12,15
府中,古亭,30,24,12,19
府中,台電大樓,30,24,12,21
府中,公館,35,28,14,23
府中,萬隆,35,28,14,26
府中,景美,40,32,16,27
府中,大坪林,40,32,16,29
府中,七張,40,32,16,31
府中,小碧潭,45,36,18,37
府中,新店區公所,40,32,16,33
府中,新店,45,36,18,35
府中,蘆洲,40,32,16,38
府中,三民高中,40,32,16,36
府中,徐匯中學,40,32,16,34
府中,三和國中,40,32,16,32
府中,三重國小,35,28,14,30
府中,迴龍,50,40,20,47
府中,丹鳳,50,40,20,44
府中,輔大,45,36,18,42
府中,新莊,45,36,18,40
府中,頭前庄,45,36,18,38
府中,先嗇宮,40,32,16,36
府中,三重,40,32,16,33
府中,菜寮,35,28,14,31
府中,台北橋,35,28,14,29
府中,大橋頭,30,24,12,26
府中,民權西路,30,24,12,22
府中,中山國小,30,24,12,26
府中,行天宮,35,28,14,24
府中,松江南京,35,28,14,22
府中,忠孝新生,30,24,12,18
府中,東門,30,24,12,22
府中,古亭,30,24,12,19
府中,頂溪,35,28,14,24
府中,永安市場,35,28,14,26
府中,景安,40,32,16,28
府中,南勢角,40,32,16,30
府中,南港展覽館,45,36,18,35
府中,南港,45,36,18,32
府中,昆陽,40,32,16,30
府中,後山埤,40,32,16,28
府中,永春,40,32,16,26
府中,市政府,35,28,14,25
府中,國父紀念館,35,28,14,23
府中,忠孝敦化,35,28,14,21
府中,忠孝復興,35,28,14,20
府中,忠孝新生,30,24,12,18
府中,善導寺,30,24,12,16
府中,台北車站,30,24,12,14
府中,西門,25,20,10,12
府中,龍山寺,25,20,10,9
府中,江子翠,20,16,8,6
府中,新埔,20,16,8,4
府中,板橋,20,16,8,2
府中,亞東醫院,20,16,8,2
府中,海山,20,16,8,5
府中,土城,20,16,8,7
府中,永寧,25,20,10,9
